UniqueCount	AmbigCount
25	0
0	46
5	46
0	6
3	46
277	0
16	0
185	0
483	0
70	55
6	56
418	0
521	0
488	0
408	0
235	0
415	0
107	0
160	0
29	0
533	0
12	85
20	85
738	0
1525	0
106	0
40	432
89	432
89	0
876	0
1695	0
258	0
433	0
282	0
55	0
17	0
8	0
867	0
38	0
190	0
31	0
497	7
8	0
183	0
365	0
160	0
1056	0
355	0
109	54
51	54
228	0
581	0
657	0
382	0
314	0
218	0
8	83
5	83
12	1
87	0
223	0
2636	0
3	0
159	0
106	1175
625	1175
15935	0
139	0
138	2
36	0
6	245
4	245
516	0
23	621
8	621
46	0
6	363
64	363
75	445
13	445
220	0
83	14
605	0
194	0
1450	0
509	0
392	0
27	3
239	0
211	0
8	164
150	569
90	569
143	137
2	137
225	0
106	1
240	0
318	1
7	0
271	5
507	17
1037	0
170	0
204	0
128	0
43	0
1969	0
96	0
549	21
259	0
218	0
75	0
85	0
163	56
305	56
8	95
9	95
187	0
2283	22
241	0
68	11
569	0
421	0
9	0
19	0
38	0
153	0
290	0
185	0
386	0
11	0
84	0
17	0
15	0
107	0
47	0
54	0
22	0
91	0
135	0
69	0
39	0
146	0
9	0
4	0
572	33
154	0
31	0
518	0
63	0
13	0
18	0
83	0
47	0
67	0
184	0
350	0
8009	0
9	0
20	0
38	0
90	0
277	0
140	0
14	0
0	4971
0	4971
454	0
335	0
150	0
14	0
10	0
90	0
241	0
726	0
15	0
981	0
128	0
11	0
108	0
96	0
65	0
88	0
20	0
22	0
491	0
184	0
119	0
134	0
703	0
66	0
23	0
6	0
58	0
454	0
494	0
7	0
57	0
189	0
34	0
37	0
15	0
3015	16
22	0
62	0
41	0
127	0
45	1
272	0
701	0
184	0
6	0
82	0
123	0
23	0
39	0
8	0
128	0
30	0
28	0
5	0
24	0
1276	0
18	0
254	0
2	0
6	0
19	0
13	0
3	0
40	0
138	0
44	0
7	0
19	0
21	0
7	0
2	0
15	0
5	0
25	0
4	0
4	0
0	0
11	0
2	0
4	0
21	0
5	0
7	0
5	0
4	0
5	0
4	0
3	0
28	0
7	0
6	0
9	0
3	0
2	0
8	0
4	0
10	0
3	0
22	0
12	0
8	0
68	0
14	0
12	0
5	0
16	0
10	0
4	0
72	0
13	0
7	0
12	0
6	0
13	0
7	0
4	0
17	0
3	0
11	0
12	0
3	0
17	0
3	0
7	0
11	0
3	0
9	0
9	0
34	0
8	0
3	0
3	0
7	0
11	0
4	0
10	0
39	0
20	0
2	0
14	0
17	0
17	0
63	0
2	0
21	0
3	0
9	0
13	0
3	0
16	0
15	0
18	0
5	0
16	0
146	0
276	5
11	0
10	0
19	0
55	0
485	0
3	0
219	0
17	0
54	0
217	6
1952	0
164	0
39	0
78	0
50	0
110	0
27	0
228	0
10	0
8	0
333	0
23	0
703	0
40	0
63	0
210	7
159	0
20	0
69	0
61	0
7	0
168	0
131	0
247	0
179	0
91	0
95	0
258	0
9	0
186	0
951	0
35	0
15	0
94	0
125	0
40	0
33	0
34	0
1260	0
8	0
2	0
257	0
155	0
2093	0
3	0
46	0
26	0
310	0
7	0
156	0
72	0
7	0
17	0
251	0
174	0
45	0
201	0
188	0
64	0
10	0
333	0
793	0
3	0
16	0
28	0
13	0
7	0
400	0
124	0
156	0
1149	0
458	0
44	0
552	0
64	0
75	0
20	0
36	0
19	0
782	0
55	0
35	0
4	0
9	0
26	0
37	0
134	0
120	0
142	0
28	0
284	0
41	0
126	0
180	0
7	0
286	0
156	0
4233	0
342	0
44	0
159	0
967	0
82	0
140	0
725	0
113	0
54	0
5	0
84	0
887	0
178	0
343	0
139	0
336	0
7	0
552	0
123	0
27	0
393	0
7	0
381	0
70	0
64	0
114	0
17	0
24	0
556	0
221	0
163	0
87	7
369	0
103	0
132	4
221	0
30	0
433	0
16	0
233	0
103	0
24	0
345	0
107	0
120	0
247	0
19	0
336	0
59	0
127	0
10	0
124	0
153	0
187	0
170	0
131	0
67	0
75	0
46	0
25	0
58	0
39	0
435	0
35	0
750	1
97	0
1000	0
40	0
50	0
6	0
377	0
42	0
393	0
2	0
337	0
531	0
7	0
642	4
24	0
300	0
317	0
38	0
75	0
328	0
52	0
254	0
17	0
220	0
1443	0
111	0
365	0
149	0
5	0
7	0
17	0
16	0
125	19
13	0
9	0
13	0
0	0
