original,renamed
TRINITY_DN144_c0_g1_i1 len=3219 path=[0:0-3218],Transcript_0
TRINITY_DN179_c0_g1_i1 len=547 path=[0:0-546],Transcript_1
TRINITY_DN159_c0_g1_i1 len=1168 path=[0:0-439 1:440-1167],Transcript_2
TRINITY_DN159_c0_g1_i2 len=871 path=[0:0-439 2:440-870],Transcript_3
TRINITY_DN153_c0_g1_i1 len=685 path=[0:0-618 2:619-684],Transcript_4
TRINITY_DN153_c0_g1_i2 len=773 path=[0:0-618 1:619-706 2:707-772],Transcript_5
TRINITY_DN130_c0_g1_i1 len=406 path=[0:0-405],Transcript_6
TRINITY_DN106_c1_g1_i1 len=1202 path=[0:0-1201],Transcript_7
TRINITY_DN106_c0_g1_i1 len=851 path=[0:0-850],Transcript_8
TRINITY_DN154_c0_g1_i1 len=1138 path=[0:0-1137],Transcript_9
TRINITY_DN194_c0_g1_i1 len=506 path=[0:0-505],Transcript_10
TRINITY_DN177_c0_g1_i1 len=289 path=[0:0-288],Transcript_11
TRINITY_DN184_c0_g1_i1 len=485 path=[0:0-358 1:359-484],Transcript_12
TRINITY_DN184_c0_g1_i2 len=448 path=[0:0-358 2:359-447],Transcript_13
TRINITY_DN167_c0_g1_i1 len=437 path=[0:0-436],Transcript_14
TRINITY_DN151_c0_g1_i1 len=259 path=[0:0-258],Transcript_15
TRINITY_DN193_c0_g1_i1 len=1299 path=[0:0-1298],Transcript_16
TRINITY_DN143_c0_g1_i1 len=957 path=[0:0-100 2:101-264 3:265-295 5:296-956],Transcript_17
TRINITY_DN143_c0_g1_i2 len=1142 path=[1:0-285 2:286-449 4:450-480 5:481-1141],Transcript_18
TRINITY_DN196_c0_g1_i1 len=718 path=[0:0-717],Transcript_19
TRINITY_DN122_c0_g1_i1 len=271 path=[0:0-270],Transcript_20
TRINITY_DN186_c0_g1_i1 len=367 path=[0:0-366],Transcript_21
TRINITY_DN139_c0_g1_i1 len=2659 path=[0:0-2658],Transcript_22
TRINITY_DN141_c0_g1_i1 len=2995 path=[0:0-2994],Transcript_23
TRINITY_DN138_c0_g1_i1 len=1214 path=[0:0-1213],Transcript_24
TRINITY_DN149_c0_g1_i1 len=239 path=[0:0-238],Transcript_25
TRINITY_DN198_c0_g1_i1 len=295 path=[0:0-294],Transcript_26
TRINITY_DN100_c0_g1_i1 len=2598 path=[0:0-2597],Transcript_27
TRINITY_DN125_c1_g1_i1 len=407 path=[0:0-406],Transcript_28
TRINITY_DN125_c0_g1_i1 len=2001 path=[0:0-2000],Transcript_29
TRINITY_DN129_c0_g1_i1 len=905 path=[0:0-904],Transcript_30
TRINITY_DN132_c0_g1_i1 len=1232 path=[0:0-967 1:968-1061 3:1062-1094 4:1095-1231],Transcript_31
TRINITY_DN132_c0_g1_i2 len=1186 path=[0:0-967 2:968-1061 3:1062-1094 5:1095-1185],Transcript_32
TRINITY_DN164_c0_g1_i1 len=2051 path=[0:0-1853 1:1854-2050],Transcript_33
TRINITY_DN164_c0_g1_i2 len=2165 path=[0:0-1853 2:1854-2164],Transcript_34
TRINITY_DN190_c0_g1_i1 len=235 path=[0:0-234],Transcript_35
TRINITY_DN152_c0_g1_i1 len=1343 path=[0:0-1342],Transcript_36
TRINITY_DN135_c0_g1_i1 len=1730 path=[0:0-1729],Transcript_37
TRINITY_DN140_c0_g1_i1 len=2223 path=[0:0-2222],Transcript_38
TRINITY_DN178_c0_g1_i1 len=341 path=[0:0-340],Transcript_39
TRINITY_DN189_c0_g1_i1 len=910 path=[0:0-909],Transcript_40
TRINITY_DN121_c0_g1_i1 len=208 path=[0:0-207],Transcript_41
TRINITY_DN172_c0_g1_i1 len=2431 path=[0:0-1285 1:1286-2051 2:2052-2430],Transcript_42
TRINITY_DN172_c0_g1_i2 len=1665 path=[0:0-1285 2:1286-1664],Transcript_43
TRINITY_DN176_c0_g1_i1 len=1487 path=[0:0-1486],Transcript_44
TRINITY_DN187_c0_g1_i1 len=750 path=[0:0-749],Transcript_45
TRINITY_DN115_c0_g1_i1 len=1558 path=[0:0-1190 2:1191-1557],Transcript_46
TRINITY_DN115_c0_g1_i2 len=2890 path=[0:0-1190 1:1191-2889],Transcript_47
TRINITY_DN119_c0_g1_i1 len=1773 path=[0:0-1772],Transcript_48
TRINITY_DN133_c0_g1_i1 len=1863 path=[0:0-1862],Transcript_49
TRINITY_DN165_c0_g1_i1 len=1411 path=[0:0-1410],Transcript_50
TRINITY_DN104_c0_g1_i1 len=1025 path=[0:0-1024],Transcript_51
TRINITY_DN131_c1_g1_i1 len=720 path=[0:0-719],Transcript_52
TRINITY_DN131_c0_g1_i1 len=1972 path=[6:0-73 8:74-119 9:120-1971],Transcript_53
TRINITY_DN131_c0_g1_i2 len=4057 path=[0:0-1438 1:1439-1985 3:1986-2026 4:2027-2084 6:2085-2158 7:2159-2204 9:2205-4056],Transcript_54
TRINITY_DN131_c0_g1_i3 len=4057 path=[0:0-1438 2:1439-1985 3:1986-2026 5:2027-2084 6:2085-2158 7:2159-2204 9:2205-4056],Transcript_55
TRINITY_DN114_c0_g1_i1 len=2225 path=[0:0-2224],Transcript_56
TRINITY_DN105_c0_g1_i2 len=4728 path=[0:0-4727],Transcript_57
TRINITY_DN150_c0_g1_i1 len=560 path=[0:0-559],Transcript_58
TRINITY_DN180_c0_g1_i1 len=1310 path=[0:0-1309],Transcript_59
TRINITY_DN185_c0_g1_i1 len=4123 path=[0:0-4122],Transcript_60
TRINITY_DN169_c0_g1_i1 len=2092 path=[0:0-2091],Transcript_61
TRINITY_DN145_c0_g1_i1 len=2770 path=[0:0-2769],Transcript_62
TRINITY_DN163_c0_g1_i1 len=1811 path=[0:0-1810],Transcript_63
TRINITY_DN147_c0_g1_i1 len=1847 path=[0:0-1846],Transcript_64
TRINITY_DN112_c0_g1_i1 len=1404 path=[0:0-1403],Transcript_65
TRINITY_DN120_c0_g1_i1 len=584 path=[0:0-583],Transcript_66
TRINITY_DN192_c0_g1_i1 len=2429 path=[0:0-2428],Transcript_67
TRINITY_DN170_c0_g1_i1 len=920 path=[0:0-919],Transcript_68
TRINITY_DN175_c0_g1_i1 len=1482 path=[0:0-1481],Transcript_69
TRINITY_DN137_c0_g1_i1 len=4831 path=[0:0-4830],Transcript_70
TRINITY_DN160_c0_g1_i1 len=1766 path=[0:0-1765],Transcript_71
TRINITY_DN166_c0_g1_i1 len=1188 path=[0:0-1187],Transcript_72
TRINITY_DN181_c0_g1_i1 len=2349 path=[0:0-2348],Transcript_73
TRINITY_DN168_c0_g1_i1 len=3018 path=[0:0-3017],Transcript_74
TRINITY_DN116_c0_g1_i1 len=756 path=[0:0-755],Transcript_75
TRINITY_DN183_c0_g1_i1 len=1758 path=[0:0-1757],Transcript_76
TRINITY_DN174_c0_g1_i1 len=2011 path=[0:0-2010],Transcript_77
TRINITY_DN107_c0_g1_i1 len=224 path=[0:0-223],Transcript_78
TRINITY_DN188_c0_g1_i1 len=1446 path=[0:0-1445],Transcript_79
TRINITY_DN173_c0_g1_i1 len=1112 path=[0:0-1111],Transcript_80
TRINITY_DN108_c0_g1_i1 len=911 path=[0:0-452 1:453-910],Transcript_81
