target_name,target_accession,tlen,query_name,query_accession,query_len,full_evalue,full_score,full_bias,domain_num,domain_total,domain_c_evalue,domain_i_evalue,domain_score,domain_bias,hmm_coord_from,hmm_coord_to,ali_coord_from,ali_coord_to,env_coord_from,env_coord_to,accuracy,description,full_query_name
Sortilin_C,PF15901.1,166,Transcript_2,-,260,2.1e-10,41.1,0.0,1,1,1.8e-14,3e-10,40.6,0.0,103,165,0,195,0,198,0.85,"Sortilin, neurotensin receptor 3, C-terminal",Transcript_2.p1
Sortilin_C,PF15901.1,166,Transcript_3,-,260,2.1e-10,41.1,0.0,1,1,1.8e-14,3e-10,40.6,0.0,103,165,0,195,0,198,0.85,"Sortilin, neurotensin receptor 3, C-terminal",Transcript_3.p1
COX4,PF02936.10,140,Transcript_4,-,152,2.4e-38,131.1,0.1,1,1,1.7e-42,2.7e-38,131.0,0.1,0,130,51,441,51,453,0.97,Cytochrome c oxidase subunit IV,Transcript_4.p1
COX4,PF02936.10,140,Transcript_5,-,115,2.5e-33,114.8,0.0,1,1,1.7e-37,2.7e-33,114.7,0.0,18,130,0,330,0,342,0.97,Cytochrome c oxidase subunit IV,Transcript_5.p1
TYA,PF01021.15,98,Transcript_6,-,135,1.4e-30,105.4,9.8,1,3,8.6e-35,1.4e-30,105.4,9.8,38,98,0,180,0,180,0.98,TYA transposon protein,Transcript_6.p1
TYA,PF01021.15,98,Transcript_6,-,135,1.4e-30,105.4,9.8,2,3,0.23,3800.0,-1.9,0.7,58,72,213,255,189,336,0.59,TYA transposon protein,Transcript_6.p1
TYA,PF01021.15,98,Transcript_6,-,135,1.4e-30,105.4,9.8,3,3,0.21,3500.0,-1.7,0.1,41,52,306,339,252,372,0.54,TYA transposon protein,Transcript_6.p1
SRF-TF,PF00319.14,48,Transcript_8,-,283,3.2e-21,74.4,0.2,1,1,3.5e-25,5.7e-21,73.6,0.2,0,48,195,339,195,339,0.99,SRF-type transcription factor (DNA-binding and dimerisation domain),Transcript_8.p1
DUP,PF00674.14,103,Transcript_9,-,219,7.7e-36,122.2,0.5,1,2,0.19,3000.0,-1.8,0.0,10,11,123,126,60,177,0.49,DUP family,Transcript_9.p1
DUP,PF00674.14,103,Transcript_9,-,219,7.7e-36,122.2,0.5,2,2,1e-39,1.7e-35,121.1,0.1,6,103,168,456,150,456,0.91,DUP family,Transcript_9.p1
Ras,PF00071.18,162,Transcript_10,-,144,2.2e-43,147.5,0.1,1,1,4.5e-47,2.4e-43,147.4,0.1,0,126,42,414,42,432,0.97,Ras family,Transcript_10.p1
Roc,PF08477.9,120,Transcript_10,-,144,1.3e-31,109.2,0.0,1,1,3e-35,1.6e-31,108.9,0.0,0,119,42,384,42,387,0.92,"Ras of Complex, Roc, domain of DAPkinase",Transcript_10.p1
Arf,PF00025.17,175,Transcript_10,-,144,3.9e-12,45.8,0.0,1,1,9.3e-16,5e-12,45.5,0.0,13,133,36,405,9,426,0.88,ADP-ribosylation factor family,Transcript_10.p1
Pcc1,PF09341.6,74,Transcript_12,-,89,1e-19,70.3,0.1,1,1,7.3e-24,1.2e-19,70.1,0.1,0,74,33,255,33,255,0.98,Transcription factor Pcc1,Transcript_12.p1
MDM31_MDM32,PF08118.7,513,Transcript_16,-,404,1.6e-170,568.1,0.1,1,1,1.1e-174,1.8e-170,567.9,0.1,103,513,0,1197,0,1197,0.94,Yeast mitochondrial distribution and morphology (MDM) proteins,Transcript_16.p1
Aldedh,PF00171.18,462,Transcript_17,-,318,6.2e-121,404.0,0.0,1,1,4.2e-125,6.9e-121,403.8,0.0,144,457,0,951,0,954,0.96,Aldehyde dehydrogenase family,Transcript_17.p1
Aldedh,PF00171.18,462,Transcript_18,-,331,1.9e-122,409.0,0.0,1,1,1.3e-126,2.1e-122,408.8,0.0,144,462,0,966,0,966,0.96,Aldehyde dehydrogenase family,Transcript_18.p1
Prefoldin_2,PF01920.16,106,Transcript_19,-,130,1.6e-24,85.8,8.2,1,1,1.1e-28,1.8e-24,85.6,8.2,0,105,54,369,54,372,0.99,Prefoldin subunit,Transcript_19.p1
Sugar_tr,PF00083.20,452,Transcript_21,-,122,1.2e-39,136.3,0.0,1,1,8.3e-44,1.3e-39,136.2,0.0,126,243,0,363,0,366,0.96,Sugar (and other) transporter,Transcript_21.p1
Mito_carr,PF00153.23,97,Transcript_22,-,311,2.5e-61,203.5,1.9,1,3,1.9e-29,3.1e-25,87.8,0.1,2,95,24,333,18,339,0.93,Mitochondrial carrier protein,Transcript_22.p1
Mito_carr,PF00153.23,97,Transcript_22,-,311,2.5e-61,203.5,1.9,2,3,4.3e-18,6.9e-14,51.4,0.1,9,93,378,615,360,627,0.95,Mitochondrial carrier protein,Transcript_22.p1
Mito_carr,PF00153.23,97,Transcript_22,-,311,2.5e-61,203.5,1.9,3,3,1.3e-21,2e-17,62.7,0.0,4,94,642,906,630,915,0.92,Mitochondrial carrier protein,Transcript_22.p1
NifU_N,PF01592.12,129,Transcript_22,-,166,2.4e-57,192.5,0.0,1,1,1.8e-61,2.9e-57,192.2,0.0,1,127,102,477,99,483,0.98,NifU-like N terminal domain,Transcript_22.p2
Nsp1_C,PF05064.9,116,Transcript_23,-,542,9.7e-42,141.3,6.0,1,2,6e-46,9.7e-42,141.3,6.0,1,113,1014,1344,1011,1365,0.97,Nsp1-like C-terminal region,Transcript_23.p1
Nsp1_C,PF05064.9,116,Transcript_23,-,542,9.7e-42,141.3,6.0,2,2,0.027,440.0,0.6,0.8,15,56,1392,1515,1347,1620,0.61,Nsp1-like C-terminal region,Transcript_23.p1
Nup192,PF11894.4,1654,Transcript_23,-,331,1.9e-98,330.3,9.7,1,1,1.3e-102,2.1e-98,330.2,9.7,1345,1654,3,972,0,972,0.93,"Nuclear pore complex scaffold, nucleoporins 186/192/205",Transcript_23.p3
Pkinase,PF00069.21,262,Transcript_27,-,575,1.8e-26,92.9,0.0,1,2,2.3e-30,1.8e-26,92.9,0.0,0,208,312,963,312,1053,0.87,Protein kinase domain,Transcript_27.p1
Pkinase,PF00069.21,262,Transcript_27,-,575,1.8e-26,92.9,0.0,2,2,0.44,3600.0,-3.1,2.6,16,55,1407,1521,1392,1548,0.54,Protein kinase domain,Transcript_27.p1
Pkinase_Tyr,PF07714.13,260,Transcript_27,-,575,4.1e-13,49.1,0.1,1,2,1.6e-16,1.3e-12,47.5,0.0,1,224,315,993,312,1023,0.85,Protein tyrosine kinase,Transcript_27.p1
